CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL3612928	*	4.52
CHEMBL2425617	7	*
CHEMBL3221133	*	6.8
CHEMBL3221131	*	5.9
CHEMBL3221134	*	6.32
CHEMBL1945199	*	4.97
CHEMBL1573507	4.4	*
CHEMBL284328	5	*
CHEMBL1531676	4.9	*
CHEMBL1546374	5.35	*
CHEMBL1379480	5.45	*
CHEMBL1499545	4.9	*
CHEMBL486696	4.5	*
CHEMBL1453970	5.45	*
CHEMBL1490799	5.5	*
CHEMBL121663	4.8	*
CHEMBL282468	4.5	*
CHEMBL1500528	5.5	*
CHEMBL354349	4.6	*
CHEMBL221753	4.6	6.97
CHEMBL1608948	4.5	*
CHEMBL64894	5	*
CHEMBL363506	4.8	*
CHEMBL274189	4.4	*
CHEMBL12089	4.8	*
CHEMBL540359	5	5.6
CHEMBL1351426	4.9	*
CHEMBL1303557	4.6	*
CHEMBL1520653	5.15	*
CHEMBL3093957	*	8.82
CHEMBL1404792	5.05	*
CHEMBL1485727	4.5	*
CHEMBL1485865	4.7	*
CHEMBL365739	5.5	*
CHEMBL3212240	4.8	*
CHEMBL1491340	4.9	*
CHEMBL1454780	6.6	*
CHEMBL1434858	4.5	*
CHEMBL1253351	5.7	*
CHEMBL216504	5.8	*
CHEMBL1490919	4.8	*
CHEMBL1318708	5	*
CHEMBL1316080	5	*
CHEMBL1591830	4.4	*
CHEMBL1365553	4.6	*
CHEMBL1447476	4.8	*
CHEMBL133930	4.9	*
CHEMBL1471289	4.6	*
CHEMBL1493740	4.4	*
CHEMBL1559341	4.6	*
CHEMBL1596534	6.1	*
CHEMBL1514931	4.5	*
CHEMBL419045	4.8	*
CHEMBL513491	4.46	*
CHEMBL36028	4.6	*
CHEMBL1034	5	*
CHEMBL1357401	4.6	*
CHEMBL1592257	4.7	*
CHEMBL1377189	4.5	*
CHEMBL1513685	4.9	*
CHEMBL1370610	4.9	*
CHEMBL1314545	4.9	*
CHEMBL1321510	4.5	*
CHEMBL263932	4.5	*
CHEMBL416657	4.7	*
CHEMBL164269	5.5	*
CHEMBL1402314	5.1	*
CHEMBL508338	5.5	*
CHEMBL1200758	4.4	*
CHEMBL1473252	5	*
CHEMBL1335406	4.8	*
CHEMBL876	4.6	*
CHEMBL1475140	4.5	*
CHEMBL1408808	4.4	*
CHEMBL1365339	4.7	*
CHEMBL738	5.2	*
CHEMBL1201065	4.9	*
CHEMBL433	5.8	*
CHEMBL1315743	4.6	*
CHEMBL1668898	8.7	*
CHEMBL1256873	4.9	*
CHEMBL1485048	7.2	*
CHEMBL502182	4.25	*
CHEMBL1210423	5.06	*
CHEMBL1406513	4.9	*
CHEMBL1527324	4.6	*
