CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL2146755	*	8.3
CHEMBL2046888	*	5.5
CHEMBL1172205	*	5.1
CHEMBL1171646	*	4.89
CHEMBL1173017	*	5.42
CHEMBL2012244	*	6.12
CHEMBL1683445	*	4.68
CHEMBL1683443	8.85	4.59
CHEMBL564144	*	5.85
CHEMBL1092126	*	6.04
CHEMBL3221511	*	4.2
CHEMBL3217925	*	4.16
CHEMBL3219106	*	4.51
CHEMBL3219110	*	4.42
CHEMBL3219109	*	4.96
CHEMBL3219108	*	5.05
CHEMBL3220879	*	5.31
CHEMBL1257347	*	8.55
CHEMBL1257226	*	7.89
CHEMBL2325742	*	5.04
CHEMBL3823030	4.68	4.54
CHEMBL1083646	*	6.92
CHEMBL381965	*	5.75
CHEMBL204573	*	5.55
CHEMBL381555	*	5.71
CHEMBL256362	*	5.1
CHEMBL257478	*	4.92
CHEMBL428777	*	4.85
CHEMBL403774	*	5
CHEMBL2031876	*	4.98
CHEMBL1086033	*	4.27
CHEMBL1084826	*	4.4
CHEMBL1084314	*	4.75
CHEMBL1082781	*	4.58
CHEMBL1082447	*	4.7
CHEMBL1084560	*	4.92
CHEMBL1084582	*	4.4
CHEMBL1086032	*	4.4
CHEMBL2031885	*	5.02
CHEMBL511658	*	5.04
CHEMBL2086687	*	4.92
CHEMBL513875	*	5.5
CHEMBL511815	*	5
CHEMBL470217	*	5.5
CHEMBL469376	*	5.2
CHEMBL523134	*	5.76
CHEMBL1779545	*	5.82
CHEMBL1092663	*	5.29
CHEMBL1090528	*	6.21
CHEMBL556506	*	5.85
CHEMBL1092599	*	5.72
CHEMBL1092598	*	5.43
CHEMBL3330655	*	4.85
CHEMBL3221514	*	4.2
CHEMBL3220878	*	5.89
CHEMBL1257227	*	8.75
CHEMBL2325743	*	5.17
CHEMBL3822947	*	4.64
CHEMBL1094521	*	6.47
CHEMBL3330654	*	5.48
CHEMBL3747669	*	4.96
CHEMBL3747266	*	4.97
CHEMBL478395	*	5.28
CHEMBL2031877	*	4.92
CHEMBL477360	*	5.22
CHEMBL3593779	*	4.54
CHEMBL471047	*	4.9
CHEMBL3422010	4.3	4.62
CHEMBL3422243	*	5.32
CHEMBL3422241	*	5.32
CHEMBL3422242	*	5.68
CHEMBL1644470	*	8.89
CHEMBL2069502	*	6.42
CHEMBL492447	*	6.17
CHEMBL2324520	*	4.68
CHEMBL3408384	*	4.54
CHEMBL3408383	*	4.49
CHEMBL1649933	*	5.3
CHEMBL3823278	*	5.28
CHEMBL3823659	*	5.27
CHEMBL3822989	*	5.14
CHEMBL3823929	*	4.57
CHEMBL3823914	*	4.64
